岗位名称,岗位类别,岗位职责,岗位要求,工作地点,入职部门,详情页链接
物流采购经理,采购族,"1、采购内容包括：物流服务品类的采购，包含空运、海运、陆运、仓储、清关服务等； 2、工作主要职责：供应商的sourcing,选择（招投标，谈判等），供应商日常沟通和绩效管理，采购合同拟制谈判和采购履行监控等工作： ● 根据公司采购策略，与供应商建立长期稳定的合作关系； ● 分析采购需求，分析行业市场，寻找潜在的合作伙伴，确保采购策略的有效性； ● 识别全球采购环境变化的风险，建立并实施风险防范体系，确保物流服务稳定性； ● 固化供应商绩效评估体系，确保持续改进。",语言要求: 英语四级 教育背景要求: 全日制本科及以上  技能要求: 1.良好的与供应商和内部客户进行人际交往和谈判的技巧； 2. 具备全局观念，有能力影响跨部门决策，良好的跨部门推动能力和执行能力； 3. 有供应链管理经验、商务谈判经验者优先。  知识要求: 熟悉各类办公软件（EXCEL，PPT等）；有物流基础知识者优先。,中国/东莞,物流采购认证部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=10264&dataSource=1
采购履行助理,采购族,标准职责: 承担一般品类原材料的供应保障工作，识别和管理供应风险，执行和落地供应策略，保障原材料的及时高效供应。 1. 承担一般品类物料采购履行工作。负责PO下单、到货及逆向、验收付款等PO全生命周期管理； 2. 通过供需匹配识别供应风险，及时预警并推动解决；管理供应商三级备货等策略执行，支撑供应保障策略落地； 3. 及时识别和预警供应商关停并转、突发事件等导致的供应风险，推动供应保障措施制定，确保供应保障措施的执行落地； 4. 基于供应商交付绩效结果，组织对供应商进行供应绩效评估及沟通，跟踪完成供应商绩效沟通和整改；   5. 了解所负责品类供应商的交付体系审核条款，并通过对供应商进行交付流程、IT系统、BCG/内控等系统化的基础赋能，提升交付能力及协同效率； 6. 通过供应商沟通协同，达到供需平衡，使库存达到良好水平，有效降低不良存货。,语言要求: 英语四级  教育背景要求: 大学本科及以上应届生，供应链、制造、物流、国际贸易、行销等领域相关工作经验人员。  技能要求: 1. 掌握所负责品类的专业知识，包括：品类知识及用途、履行特点、交付瓶颈工序、主要供应商分布、行业竞争态势等； 2. 熟悉商务基本知识，包括但不限于国际贸易、合规、商务礼仪、基本财务知识等； 3. 具备良好的内外部沟通及协调能力。,中国/东莞,综合采购履行管理部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=10207&dataSource=1
服务产品技术项目采购经理,采购族,作为站点集成服务产品技术项目采购经理，负责对应领域的产业链管理和可采购性设计，构建采购领域的相对优势，实现产业商业成功。 1、根据产品采购策略规划，负责执行物料供应商sourcing、选型和认证、质量管理、编码生命周期管理、目标成本管理等； 2、根据产品采购策略规划，负责交付合作策略、分包工具和可服性措施的分包商验证； 3、负责处理产品开发过程中供应商相关问题； 4、负责处理产品上市初期的交付保障和供应商相关的市场问题。,语言要求: 英语四级及以上 背景要求: 1、统招全日制本科及以上，理工科相关专业； 2、有5年以上的站点土建设计或实施经验优先； 3、具备通讯行业项目管理或技术管理经验优先； 4、具备土建项目团队管理经验优先。  知识/能力/技能要求: 1、熟悉通信站点土建建设流程、方案、实施等； 2、能够熟练使用CAD软件或者结构分析软件; 3、具有强烈的使命感，坚持结果导向； 4、能长期保持积极、开放的心态，不断学习迭代； 5、具备一定前瞻性思维和预判能力； 6、具备较强的沟通和影响力。,中国/东莞,服务产品采购工程部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=17113&dataSource=1
仪器装备采购经理,采购族,工作主要职责：  1、主导负责品类的供应商资源sourcing，供应商认证（供应商最低资质评估、现场考察、协议签署、认证汇报、上网发布）； 2、制定、维护、和规范执行所负责品类的采购策略，确保优质交付； 3、实施负责品类相关的RFQ、RFP和RFI有关的活动，负责物料相关的供应商选择； 4、负责建立与维护供应商的关系，做好供应商资源管理，确保获得采购相对优势； 5、按照采购流程及授权规定，与供应商签订合同及协议。,语言要求: 英语四级 教育背景要求: 统招本科及以上  技能要求: 1、有项目交付经验、供应链管理经验、制造，装备相关开发或制程工艺等经验、商务谈判经验者优先； 2、有制造装备基础知识和了解项目交付流程优先考虑； 3、掌握项目管理方法，熟悉某一行业装备资源； 4、要求具备良好的沟通能力、团队合作能力和逻辑思维能力； 5、熟悉各类办公软件（EXCEL，PPT等）。,中国/东莞,仪器装备采购认证部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=14734&dataSource=1
供应链算法及AI应用专家,供应链族,1、对齐供应链业务战略，联合业务领域识别业务挑战及应用机会点，制定AI应用战略及演进路标，规划并落地AI应用的系统及解决方案架构，牵引应用架构及技术架构的演进；  2、聚焦供应链的核心高价值业务场景，通过构建AI应用，赋能供应方案设计、供应资源决策、订单履行管理等，优化供应链作业及运作模式，提升工作效率、质量与客户/伙伴供应服务满意度。,教育背景要求:本科及以上 技能要求:良好的需求理解力、问题分析、归纳能力 、跨领域协调能力 知识要求: 1、优秀的洞察及架构能力，熟悉数字化经验及4A架构； 2、熟悉Transformer、增量预训练、SFT、RAG、Agent技术栈，有大规模集群上实践经验者优先； 3、对技术有热情，具备良好的沟通表达能力和团队精神，自驱力强；,中国/东莞,数字化产品架构部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15760&dataSource=1
供应链算法及AI应用专家,供应链族,1、负责以大模型为核心的数据增强能力建设，收集、组织、管理和存储原始业务数据，对供应领域知识进行抽象，建立供应领域知识图谱转化为准确、可用的信息，供AI模型访问调用；  2、负责结合AI大模型应用场景，总结提示词、语料标注方法，支撑提示词，语料标注推广。,教育背景要求:本科及以上 技能要求:良好的需求理解力、问题分析、归纳能力 、跨领域协调能力 知识要求: 1、优秀的代码能力、数据结构和基础算法功底，熟悉Pytorch、MindSpore等深度学习框架； 2、熟悉Transformer、增量预训练、SFT、RAG、Agent技术栈，有大规模集群上实践经验者优先； 3、对技术有热情，具备良好的沟通表达能力和团队精神，自驱力强； 4、有供应链AIGC相关场景实践及落地者优先。,中国/东莞,供应链数据管理部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15751&dataSource=1
渠道销售专员,销售族,"1、参与所属领域的合作伙伴规划，在指导下负责某个领域合作伙伴拓展、合作伙伴联合营销活动，实现所负责领域的合作伙伴商业目标，建立与维护一般合作伙伴CXO或价值合作伙伴中高层客户关系,促成双方合作； 2、 对渠道销售收入目标负责；  3、构建渠道沙盘，并维护和拓展好本区县的核心渠道（渠道激活数/激活率）； 4、负责渠道Pipeline管理，配合渠道进行营销活动执行，提升渠道复购率；  5、 收集、分析区域集成商信息，结合友商竞争情况，输出市场分析报告；  6、 负责渠道满意度。",教育背景要求:本科及以上 技能要求: 1、了解、执行业务范围内MPR、OTO等流程；具有伙伴合作能力、团队管理能力、营销活动执行能力； 2、深入熟悉渠道，构建与核心渠道的良好合作关系； 3、对友商的市场动态进行例行化管理和反馈； 4、渠道销售收入目标；渠道Pipeline管理；渠道激活数/激活率；客户激活数；渠道复购率、渠道满意度； 5、优先的经验：有政企市场工作经验，有渠道拓展/销售成功经验；业务运营经验、项目运营经验等。 ,中国/芜湖,安徽政企芜湖业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19870&dataSource=1
渠道销售专员,销售族," 参与所属领域的合作伙伴规划，在指导下负责某个领域合作伙伴拓展、合作伙伴联合营销活动，实现所负责领域的合作伙伴商业目标，建立与维护一般合作伙伴CXO或价值合作伙伴中高层客户关系,促成双方合作 ",语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 1、能力要求：伙伴合作能力、团队管理能力、营销活动执行能力； 2、其他：敢于挑战，较强的执行力。 知识要求: 具备ICT领域知识。 ,中国/成都,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19864&dataSource=1
数字能源业务拓展代表,销售族,主要对接一般NA客户，客户关系规划，客户关系柘展，客户满意度管理。 理解客户需求，协助设计匹配解决方案，进行项目预算和方案引导。 中小销售项目的主导者，协助制定项目策略，协调内外部资源，端到端全流程监控和执行项目，做好竞争管理及项目风险管理。 ,教育背景要求: 本科及以上 技能要求: 合作、团队管理、营销活动执行能力 知识要求: 沟通、理解、执行能力，本业务领域专业、专注，敢于挑战,中国/重庆,重庆数字能源业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19810&dataSource=1
渠道销售专员,销售族,在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成；,教育背景要求: 本科及以上学历,中国/无锡,江苏政企分销销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19832&dataSource=1
